Id,ClosedAccount,Age,Gender,Education,CivilState,Salary,Product,NumMonthsBeingClient,NumProductsClient,NumMonthsWithoutOperating,NumRelationshipsLast12Months,CreditLimit,CreditNotPayed,SumTransactionAmount,NumTransactions,Total_Ct_Chng_Q4_Q1,NumAvgTransactions
789124683,YES,54.0,M,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0.0,1110,21,0.75,0.0
771071958,YES,41.0,F,Graduate,Single,Less than $40K,Blue,28,6,1,2,,1669.0,1051,22,0.833,0.215
720466383,YES,59.0,M,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784.0,1374.0,1197,23,1.3,0.093
804424383,YES,63.0,M,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010.0,1904,40,1.0,0.099
718813833,YES,44.0,F,Uneducated,Single,Unknown,Blue,34,5,2,2,10100.0,0.0,1052,18,1.571,0.0
806624208,YES,47.0,M,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362.0,1045,38,0.9,0.285
778348233,YES,53.0,M,Unknown,,$80K - $120K,Blue,33,3,2,3,2753.0,1811.0,1038,25,2.571,0.658
712991808,YES,53.0,M,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690.0,1596,26,1.6,0.69
709029408,YES,41.0,M,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517.0,1589,24,1.667,0.282
788658483,YES,53.0,F,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490.0,1411,28,1.0,0.562
787937058,YES,58.0,M,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696.0,1291,24,0.714,0.135
715318008,YES,55.0,F,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914.0,1407,43,0.483,0.544
713962233,YES,55.0,F,Graduate,,Less than $40K,Blue,36,6,2,3,3035.0,2298.0,1877,37,1.176,0.757
785432733,YES,42.0,F,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0.0,966,22,1.2,0.0
715190283,YES,57.0,F,Graduate,Unknown,$40K - $60K,Blue,49,3,3,2,3672.0,886.0,1464,28,0.556,0.241
708300483,NO,66.0,F,Doctorate,Married,Unknown,Blue,56,5,4,3,7882.0,605.0,704,16,0.143,0.077
827111283,YES,45.0,M,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578.0,1109,28,0.474,0.018
758551608,YES,51.0,M,Unknown,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204.0,1347,28,0.556,0.355
773146383,YES,50.0,F,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517.0,1756,33,1.2,0.145
778493808,YES,49.0,M,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0.0,1756,32,1.0,0.0
720572508,YES,38.0,F,Graduate,Single,Unknown,Blue,28,2,3,3,9830.0,2055.0,1042,23,0.917,0.209
712661433,YES,49.0,M,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0.0,1444,28,1.333,0.0
789172683,YES,56.0,M,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430.0,1741,27,0.588,0.626
738406533,YES,59.0,M,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020.0,1719,27,1.7,0.793
799723908,YES,46.0,M,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435.0,1217,27,0.8,0.074
771490833,YES,52.0,M,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227.0,1140,40,0.6,0.259
720756708,YES,52.0,F,Unknown,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549.0,1878,30,1.143,0.591
779471883,NO,54.0,F,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808.0,705,19,0.9,0.562
711525033,YES,66.0,F,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179.0,1946,38,1.923,0.687
712813458,YES,49.0,M,Unknown,Married,$120K +,Blue,36,4,2,0,19763.0,2517.0,1414,35,0.25,0.127
714374133,YES,56.0,M,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0.0,602,15,0.364,0.0
717891558,YES,49.0,F,Graduate,Unknown,Less than $40K,Blue,36,6,4,2,3298.0,2200.0,1052,32,0.6,0.667
716632758,YES,49.0,F,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363.0,1295,40,0.6,0.843
768563658,YES,56.0,M,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880.0,1424,29,1.417,0.422
711427458,YES,44.0,F,Graduate,Married,Unknown,Blue,35,4,1,2,6273.0,978.0,1359,25,1.083,0.156
714091983,YES,42.0,M,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753.0,1168,27,1.25,0.525
787584108,YES,55.0,M,Unknown,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016.0,1097,33,0.833,0.587
712030833,NO,48.0,M,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0.0,691,15,0.5,0.0
711481533,YES,39.0,M,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251.0,1316,28,1.154,0.211
710082708,YES,44.0,M,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102.0,1276,26,0.733,0.088
708155733,YES,53.0,M,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634.0,1289,23,0.917,0.111
788979258,YES,51.0,M,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515.0,1293,32,0.6,0.044
807986133,YES,57.0,M,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817.0,1353,35,0.667,0.276
788730933,YES,44.0,F,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468.0,1132,28,0.556,0.704
711314058,YES,49.0,M,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107.0,1670,17,2.4,0.656
717975333,YES,50.0,M,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330.0,837,15,2.0,0.053
715971108,YES,51.0,M,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763.0,1550,41,1.05,0.051
720096558,YES,55.0,F,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034.0,1540,36,0.286,0.467
719580033,YES,54.0,M,Graduate,Unknown,$60K - $80K,Blue,43,4,2,3,2910.0,2030.0,1256,21,0.4,0.698
820582308,YES,42.0,M,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528.0,1394,35,0.522,0.067
789973308,YES,44.0,M,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932.0,1341,24,1.182,0.079
712876233,YES,53.0,M,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515.0,1289,33,0.435,0.287
804595158,YES,44.0,F,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517.0,1112,23,1.875,0.36
714826758,YES,37.0,F,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801.0,2339,57,0.966,0.256
779058108,YES,49.0,M,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823.0,1468,23,0.353,0.719
710790258,YES,47.0,M,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899.0,1334,35,0.4,0.066
715623483,YES,47.0,M,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695.0,1457,41,1.412,0.198
715156383,YES,44.0,M,Unknown,Unknown,$120K +,Blue,36,6,2,2,34516.0,1533.0,1603,29,0.526,0.044
711013983,NO,55.0,F,Unknown,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0.0,615,12,0.714,0.0
755420433,YES,59.0,F,Graduate,Married,Unknown,Blue,52,2,3,3,10133.0,1417.0,1068,20,0.818,0.14
794543958,YES,53.0,M,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219.0,1590,27,2.0,0.035
716396358,YES,52.0,M,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910.0,1531,35,0.667,0.619
715398033,YES,,M,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056.0,1212,31,0.722,0.108
711743883,YES,43.0,F,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0.0,1237,32,0.6,0.0
719720058,YES,44.0,M,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837.0,1413,14,1.8,0.066
778992108,YES,57.0,M,Unknown,Married,$120K +,Blue,45,5,3,3,5266.0,0.0,1516,29,1.636,0.0
717539808,YES,51.0,F,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0.0,1276,21,1.333,0.0
714070758,YES,49.0,M,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953.0,1564,35,2.182,0.062
714107958,YES,45.0,M,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0.0,1465,34,0.619,0.0
789140283,YES,53.0,M,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037.0,1286,29,0.933,0.765
715550508,YES,45.0,F,Unknown,Married,Unknown,Blue,28,5,1,2,2535.0,2440.0,1312,20,1.222,0.963
719712633,YES,64.0,M,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895.0,1673,32,0.882,0.524
772629333,YES,45.0,M,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200.0,1313,30,0.304,0.347
720336708,YES,53.0,M,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706.0,1609,42,0.68,0.45
802013583,YES,56.0,M,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250.0,1158,19,0.727,0.232
711887583,NO,47.0,M,Unknown,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628.0,836,18,0.385,0.299
714778833,YES,49.0,F,College,Single,Unknown,Blue,43,4,4,0,23032.0,1960.0,1289,22,1.0,0.085
713843283,YES,41.0,F,Unknown,Married,Unknown,Silver,34,5,3,3,34516.0,2053.0,1487,26,0.733,0.059
779155158,YES,53.0,M,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264.0,1259,33,0.5,0.43
721091583,YES,44.0,F,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879.0,1298,15,1.5,0.62
713572683,YES,44.0,M,High School,Unknown,$60K - $80K,Blue,25,3,3,0,1862.0,0.0,1226,34,0.789,0.0
716657058,YES,43.0,F,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926.0,1566,37,0.542,0.111
779509983,YES,53.0,M,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931.0,1022,21,1.1,0.027
717929133,YES,44.0,M,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440.0,1235,30,0.667,0.169
808284783,YES,62.0,F,Unknown,Married,Less than $40K,Blue,56,6,0,0,1438.3,0.0,1951,44,1.095,0.0
708476808,YES,54.0,M,Unknown,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960.0,1047,31,0.824,0.058
710916408,YES,57.0,M,Graduate,Married,$60K - $80K,Blue,39,4,3,0,8466.0,1886.0,1342,32,0.391,0.223
708492558,YES,42.0,M,Unknown,Married,$60K - $80K,Blue,36,5,3,3,,865.0,1107,21,1.625,0.057
799825758,YES,42.0,M,High School,Divorced,$60K - $80K,Blue,36,5,1,2,3263.0,1674.0,1251,35,0.346,0.513
718619883,YES,54.0,F,Uneducated,Married,Less than $40K,Blue,36,2,2,2,1494.0,706.0,1305,24,3.0,0.473
711844758,YES,48.0,M,Graduate,Single,$80K - $120K,Blue,35,6,1,0,13551.0,1294.0,1388,37,1.056,0.095
714798783,YES,49.0,M,Graduate,Single,$80K - $120K,Blue,36,6,2,2,18886.0,895.0,1235,18,1.571,0.047
826762908,YES,52.0,M,High School,Unknown,$80K - $120K,Blue,48,3,2,0,11976.0,1273.0,2089,36,1.118,0.106
771894558,YES,50.0,M,High School,Single,$80K - $120K,Blue,39,4,1,4,9964.0,1559.0,1626,25,0.786,0.156
721074183,YES,49.0,M,Doctorate,Married,$60K - $80K,Blue,36,4,6,3,24159.0,1196.0,1111,24,1.0,0.05
715259583,YES,53.0,F,High School,Married,Less than $40K,Blue,44,3,2,3,5362.0,1901.0,1553,38,1.0,0.355
718414008,YES,50.0,M,Graduate,Single,$120K +,Blue,36,3,2,2,34516.0,1023.0,1064,13,0.625,0.03
719666283,YES,55.0,F,Doctorate,Married,Less than $40K,Blue,36,4,1,0,3174.0,1951.0,1243,29,0.611,0.615
714877233,YES,53.0,M,High School,Married,$80K - $120K,Blue,47,3,2,2,12262.0,1836.0,1659,38,1.533,0.15
785387883,YES,47.0,F,High School,Single,$40K - $60K,Blue,41,4,3,3,3788.0,1540.0,1594,47,0.382,0.407
771075258,YES,55.0,M,College,Single,$120K +,Silver,42,2,3,2,34516.0,1527.0,1268,42,0.355,0.044
711318033,YES,47.0,M,Graduate,Single,$60K - $80K,Blue,36,4,2,2,2926.0,0.0,1304,24,0.846,0.0
783554958,YES,58.0,M,Graduate,Single,$120K +,Blue,52,6,1,0,32090.0,0.0,1368,30,0.364,0.0
720201033,NO,53.0,M,Graduate,Married,$80K - $120K,Blue,41,3,3,2,11669.0,2227.0,720,23,0.353,0.191
718039683,YES,52.0,M,High School,Single,$40K - $60K,Blue,45,3,1,2,13532.0,1300.0,1521,29,1.417,0.096
710806083,YES,50.0,F,Uneducated,Unknown,Less than $40K,Silver,36,4,2,2,11888.0,2090.0,1137,30,0.765,0.176
714752208,YES,42.0,F,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985.0,978,16,0.778,0.83
822063408,YES,43.0,M,Unknown,Married,$40K - $60K,Blue,39,5,1,2,6111.0,2517.0,1221,16,2.2,0.412
714490308,YES,57.0,M,Graduate,Married,$80K - $120K,Blue,46,3,2,3,19270.0,1662.0,1565,28,1.545,0.086
713356833,YES,52.0,M,Graduate,Married,$80K - $120K,Blue,43,3,1,4,3710.0,2517.0,1578,34,0.7,0.678
711402333,YES,47.0,M,Doctorate,Single,Less than $40K,Blue,37,2,1,3,3235.0,797.0,1493,32,1.0,0.246
708296883,YES,44.0,F,Graduate,Single,$40K - $60K,Blue,38,3,1,0,11749.0,788.0,1178,27,0.929,0.067
719154483,YES,53.0,M,High School,Divorced,$60K - $80K,Blue,36,5,3,2,7753.0,2100.0,991,26,0.733,0.271
717721458,YES,45.0,M,College,Divorced,$60K - $80K,Blue,40,5,1,0,10408.0,1186.0,2560,42,1.211,0.114
711112683,YES,63.0,F,College,Married,Unknown,Blue,36,6,2,3,3967.0,1568.0,1657,29,1.231,0.395
715674483,YES,39.0,F,Post-Graduate,,,Blue,27,4,2,2,6205.0,2517.0,1204,19,0.727,0.406
789322833,NO,48.0,F,High School,Married,Less than $40K,Blue,38,1,3,3,8025.0,0.0,673,18,0.8,0.0
789968058,YES,51.0,M,Unknown,Single,$120K +,Blue,42,6,2,3,9036.0,2327.0,1131,18,0.636,0.258
709919283,YES,54.0,M,Graduate,Married,$80K - $120K,Blue,34,2,3,2,14926.0,2517.0,1576,25,1.5,0.169
718744008,YES,59.0,F,Graduate,Single,Less than $40K,Blue,36,3,2,3,6335.0,1128.0,1217,20,0.667,0.178
767712558,NO,59.0,M,College,Single,$60K - $80K,Blue,53,2,3,3,14979.0,0.0,530,10,1.0,0.0
712950783,NO,48.0,F,Uneducated,Married,Less than $40K,Blue,38,3,2,3,2732.0,0.0,739,16,0.455,0.0
716104983,YES,41.0,F,Graduate,Single,Less than $40K,Blue,32,6,3,2,2250.0,2117.0,1617,31,2.875,0.941
818839983,YES,55.0,M,Graduate,Married,$120K +,Blue,50,3,2,0,10916.0,1536.0,1592,34,1.0,0.141
772288758,YES,47.0,F,Graduate,Married,Unknown,Blue,36,4,1,3,5349.0,1228.0,1343,30,1.308,0.23
712350858,YES,41.0,M,High School,Married,$80K - $120K,Blue,24,4,1,3,,1104.0,1303,39,0.625,0.118
711009708,YES,40.0,M,High School,Single,$80K - $120K,Blue,28,5,1,0,21617.0,0.0,1351,22,0.467,0.0
712720158,YES,68.0,M,Graduate,Married,Unknown,Blue,56,5,2,3,13860.0,1652.0,1910,32,1.909,0.119
712215258,YES,50.0,F,Graduate,Single,$40K - $60K,Silver,31,2,2,3,18386.0,0.0,1298,22,0.571,0.0
773827008,YES,47.0,M,Uneducated,Single,$60K - $80K,Blue,41,6,2,2,2405.0,1540.0,1087,29,1.231,0.64
795232683,YES,53.0,F,College,Married,Less than $40K,Blue,47,4,2,3,2154.0,930.0,1439,26,1.364,0.432
713786508,YES,42.0,F,Unknown,Married,$40K - $60K,Blue,36,3,3,3,2038.0,0.0,1238,28,0.75,0.0
713539833,YES,48.0,F,High School,Single,$40K - $60K,Blue,38,6,1,3,8135.0,0.0,1716,29,0.812,0.0
712454058,YES,49.0,M,Doctorate,Married,$120K +,Blue,38,6,1,3,9364.0,618.0,1099,27,0.8,0.066
718759833,YES,44.0,F,Uneducated,Married,Unknown,Silver,35,4,3,2,32643.0,0.0,1058,24,2.429,0.0
718803333,YES,43.0,F,Graduate,Divorced,Less than $40K,Blue,34,2,3,1,3195.0,1954.0,1285,29,0.706,0.612
720253908,YES,56.0,M,High School,Married,$80K - $120K,Blue,43,5,2,1,2852.0,1024.0,1651,28,1.0,0.359
714133158,YES,59.0,F,College,Single,Unknown,Blue,36,2,3,3,4224.0,1305.0,1152,31,0.824,0.309
713187033,YES,46.0,M,Uneducated,Married,$60K - $80K,Blue,36,3,2,2,20459.0,2071.0,1767,38,2.167,0.101
714791208,YES,,F,Unknown,Divorced,Less than $40K,Blue,41,6,5,3,3482.0,2114.0,1039,24,0.263,0.607
772426383,YES,50.0,F,Uneducated,Married,$40K - $60K,Blue,40,5,2,3,3065.0,1570.0,1130,28,1.333,0.512
710975883,YES,51.0,F,Uneducated,Married,Less than $40K,Blue,43,3,1,2,2185.0,1761.0,1645,30,0.429,0.806
714264408,YES,47.0,F,Uneducated,Married,Less than $40K,Blue,36,4,1,0,1611.0,746.0,1413,29,0.706,0.463
715827858,YES,58.0,F,Uneducated,Married,Less than $40K,Blue,47,3,3,3,2822.0,2173.0,1218,23,2.286,0.77
713741358,NO,46.0,M,Graduate,Single,$80K - $120K,Blue,33,6,3,3,32975.0,2517.0,597,17,0.7,0.076
709531908,YES,53.0,M,High School,Married,$60K - $80K,Blue,47,5,2,2,1438.3,0.0,2184,53,0.828,0.0
716493408,YES,45.0,F,Uneducated,Divorced,Unknown,Blue,36,4,3,3,15875.0,1719.0,1592,37,1.467,0.108
714141108,YES,52.0,F,High School,Married,Less than $40K,Blue,45,6,3,3,6703.0,893.0,1388,28,0.75,0.133
708953883,NO,53.0,M,Unknown,Married,$80K - $120K,Blue,36,2,2,1,3212.0,0.0,757,20,0.25,0.0
712608783,YES,50.0,M,High School,Married,$80K - $120K,Silver,45,3,1,3,34516.0,1260.0,1504,34,0.789,0.037
820353558,YES,41.0,F,High School,Married,$40K - $60K,Blue,36,4,1,2,9797.0,1434.0,1503,34,0.478,0.146
714964758,YES,45.0,F,Graduate,Divorced,$40K - $60K,Blue,36,5,2,2,10400.0,1777.0,1105,28,0.867,0.171
716264358,YES,53.0,M,Uneducated,Married,$80K - $120K,Blue,42,2,1,2,26792.0,1836.0,2398,47,0.88,0.069
717296808,YES,67.0,F,Graduate,Married,Less than $40K,Blue,56,4,3,2,3006.0,2517.0,1661,32,1.0,0.837
712977183,YES,57.0,F,Uneducated,Single,$40K - $60K,Silver,36,6,3,0,19482.0,1072.0,1421,22,1.444,0.055
710829108,YES,59.0,F,Uneducated,Married,$40K - $60K,Blue,36,4,2,3,3356.0,985.0,999,28,0.556,0.294
779562633,YES,45.0,M,Uneducated,Married,$40K - $60K,Blue,34,3,2,1,5771.0,2248.0,1387,18,0.8,0.39
715315833,YES,51.0,M,Graduate,Married,$80K - $120K,Blue,36,6,2,3,11106.0,2107.0,1243,24,1.0,0.19
815500983,YES,59.0,F,Uneducated,Married,Less than $40K,Blue,54,5,3,0,2890.0,2001.0,1860,36,1.0,0.692
719360583,YES,53.0,M,Graduate,Married,$60K - $80K,Blue,45,6,2,2,3380.0,1701.0,1502,25,1.273,0.503
709701558,YES,47.0,M,Graduate,Married,$60K - $80K,Blue,36,2,1,2,21331.0,1251.0,1460,50,1.083,0.059
721148358,YES,49.0,F,Uneducated,Single,Unknown,Blue,38,6,2,1,12860.0,0.0,1348,27,0.286,0.0
779862408,YES,49.0,M,Post-Graduate,Single,$80K - $120K,Blue,33,3,1,0,6278.0,462.0,1087,33,0.941,0.074
812627208,YES,60.0,F,College,Single,Less than $40K,Blue,55,5,1,3,1438.3,738.0,1226,33,0.571,0.513
711033408,YES,50.0,F,High School,Married,Less than $40K,Blue,36,5,1,2,9355.0,1626.0,1230,28,0.867,0.174
779956608,YES,41.0,F,Post-Graduate,Married,Unknown,Blue,31,6,1,3,20758.0,0.0,1555,32,0.684,0.0
780376683,YES,57.0,M,Graduate,Married,$80K - $120K,Blue,47,5,3,1,14612.0,1976.0,1827,24,3.0,0.135
717912483,YES,43.0,M,Graduate,Unknown,$80K - $120K,Blue,27,5,2,0,27259.0,0.0,1376,35,0.591,0.0
714454758,YES,57.0,F,Graduate,Married,Less than $40K,Blue,47,4,2,3,6347.0,1594.0,1771,37,0.762,0.251
780466533,YES,54.0,M,Doctorate,Married,$120K +,Blue,41,3,3,0,21592.0,1676.0,1873,52,0.529,0.078
715735233,YES,51.0,F,Post-Graduate,Married,Less than $40K,Blue,44,5,1,1,3449.0,1598.0,1679,42,0.556,0.463
720476733,YES,47.0,F,High School,Married,Less than $40K,Blue,34,2,1,2,6028.0,799.0,1002,22,0.571,0.133
715872333,YES,41.0,M,High School,Unknown,$120K +,Blue,36,3,2,3,18214.0,1998.0,1344,21,1.1,0.11
712375758,YES,53.0,M,Uneducated,Married,$80K - $120K,Blue,43,3,3,1,16393.0,1423.0,1461,42,0.75,0.087
708868233,NO,68.0,M,High School,Married,Less than $40K,Blue,52,1,3,2,1438.3,900.0,760,21,0.615,0.626
718030083,YES,59.0,M,College,Married,$60K - $80K,Blue,36,4,1,2,7871.0,1687.0,1428,22,1.444,0.214
720707283,YES,48.0,M,Unknown,Married,$80K - $120K,Blue,36,5,3,0,5288.0,866.0,1777,42,0.75,0.164
771698658,YES,44.0,M,Graduate,Married,$60K - $80K,Blue,32,4,5,3,11376.0,2006.0,1302,27,0.8,0.176
748326258,YES,48.0,M,College,Married,$80K - $120K,Blue,41,4,5,3,12302.0,1632.0,1483,41,0.519,0.133
770817783,YES,47.0,M,Graduate,Married,$60K - $80K,Silver,33,3,2,1,34516.0,1679.0,1060,27,0.5,0.049
779353083,YES,47.0,M,Graduate,Married,$60K - $80K,Silver,32,4,2,2,34516.0,1468.0,1330,32,0.684,0.043
711441333,YES,,F,High School,Divorced,Less than $40K,Silver,35,3,2,2,10514.0,1580.0,1229,27,0.8,0.15
719808558,NO,55.0,F,Graduate,Married,Less than $40K,Blue,43,2,4,3,1438.3,0.0,886,27,0.421,0.0
711551958,NO,59.0,M,Post-Graduate,Married,$60K - $80K,Blue,46,3,3,3,1438.3,0.0,844,24,0.5,0.0
809164083,YES,63.0,M,Graduate,Married,$40K - $60K,Blue,56,2,1,2,2619.0,1779.0,1450,37,0.947,0.679
820596183,YES,58.0,M,College,Married,$120K +,Blue,53,2,3,0,24407.0,2395.0,2311,48,0.714,0.098
715999608,YES,53.0,F,High School,Married,Less than $40K,Blue,36,4,1,2,2377.0,1649.0,1378,26,1.167,0.694
710565408,YES,59.0,M,Unknown,Unknown,$80K - $120K,Silver,40,3,2,3,34516.0,1359.0,1033,26,1.364,0.039
805543158,YES,52.0,M,Graduate,Married,$120K +,Blue,47,5,3,3,11086.0,2207.0,1523,40,1.105,0.199
709752183,YES,48.0,M,High School,Single,$60K - $80K,Blue,36,4,2,2,,2517.0,1374,37,0.762,0.22
716479233,YES,43.0,M,High School,Married,$40K - $60K,Blue,36,5,3,2,13258.0,1721.0,1080,21,1.333,0.13
713837058,YES,48.0,M,College,Single,Less than $40K,Blue,36,3,2,3,2571.0,1955.0,1234,24,0.714,0.76
718876683,YES,43.0,F,Graduate,Single,Less than $40K,Blue,31,5,2,0,5781.0,1168.0,1600,32,0.455,0.202
770746908,YES,44.0,M,Unknown,Married,$60K - $80K,Blue,30,5,1,2,7872.0,2509.0,1155,32,0.882,0.319
794843883,YES,41.0,M,High School,Married,$80K - $120K,Blue,35,6,1,2,34516.0,1202.0,1353,33,0.737,0.035
